% Model:              test_case_2.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 13 2020, 14:38
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
-1.9999999999999998       1.6490212967375147E-6
-1.9959959959959959       1.6555852852877248E-6
-1.991991991991992        1.6621500764845413E-6
-1.987987987987988        1.6687156608550718E-6
-1.9839839839839837       1.6752820290737277E-6
-1.97997997997998         1.681849171959468E-6
-1.975975975975976        1.6884170804730615E-6
-1.971971971971972        1.6949857457142785E-6
-1.967967967967968        1.7015551589193457E-6
-1.9639639639639639       1.7081253114582751E-6
-1.95995995995996         1.7075786361241337E-6
-1.9559559559559558       1.7148609568227715E-6
-1.951951951951952        1.7221448818776636E-6
-1.947947947947948        1.7294303910174088E-6
-1.943943943943944        1.736717464306319E-6
-1.93993993993994         1.7440060821377227E-6
-1.9359359359359363       1.7512962252271836E-6
-1.931931931931932        1.758587874606064E-6
-1.927927927927928        1.7658810116150892E-6
-1.9239239239239239       1.773175617898243E-6
-1.9199199199199202       1.7804716753966573E-6
-1.9159159159159158       1.7877691663426553E-6
-1.911911911911912        1.7950680732540592E-6
-1.907907907907908        1.8023683789285202E-6
-1.9039039039039038       1.8096700664379671E-6
-1.8998998998999          1.8169731191232915E-6
-1.8958958958958958       1.8242775205890335E-6
-1.8918918918918919       1.8315832546982738E-6
-1.8878878878878878       1.8388903055676264E-6
-1.8838838838838836       1.8461986575623103E-6
-1.87987987987988         1.8535082952913842E-6
-1.8758758758758758       1.861756396193994E-6
-1.871871871871872        1.8690105939482206E-6
-1.867867867867868        1.8762679964408905E-6
-1.8638638638638638       1.8835285666275929E-6
-1.8598598598598601       1.8907922680168175E-6
-1.8558558558558558       1.8980590646601138E-6
-1.8518518518518519       1.9053289211421971E-6
-1.8478478478478477       1.9126018025714276E-6
-1.8438438438438438       1.9198776745705298E-6
-1.83983983983984         1.927156503267286E-6
-1.8358358358358355       1.9344382552856856E-6
-1.8318318318318318       1.9417228977370003E-6
-1.8278278278278277       1.9490103982113175E-6
-1.8238238238238238       1.956300724769011E-6
-1.8198198198198199       1.9738498297318423E-6
-1.8158158158158157       1.981833497416289E-6
-1.811811811811812        1.9898221957216955E-6
-1.807807807807808        1.9978158642999688E-6
-1.8038038038038038       2.005814443727791E-6
-1.7997997997997999       2.0138178754897107E-6
-1.7957957957957957       2.0218261019616123E-6
-1.7917917917917918       2.0189980456870276E-6
-1.7877877877877877       2.028352762406373E-6
-1.7837837837837838       2.0377115646837496E-6
-1.7797797797797799       2.0470743964841756E-6
-1.775775775775776        2.0564412027692445E-6
-1.7717717717717718       2.065811929475621E-6
-1.7677677677677677       2.075186523494068E-6
-1.7637637637637638       2.0845649326489744E-6
-1.7597597597597598       2.0939471056784226E-6
-1.755755755755756        2.1033329922147657E-6
-1.751751751751752        2.112722542765607E-6
-1.7477477477477479       2.122115708695382E-6
-1.743743743743744        2.1315124422072248E-6
-1.7397397397397398       2.1409126963254576E-6
-1.735735735735736        2.1503164248783688E-6
-1.731731731731732        2.159723582481494E-6
-1.7277277277277274       2.169134124521226E-6
-1.7237237237237237       2.1785480071389453E-6
-1.7197197197197196       2.187965187215401E-6
-1.7157157157157155       2.197385622355515E-6
-1.7117117117117115       2.2068092708736443E-6
-1.7077077077077076       2.21623609177898E-6
-1.7037037037037037       2.225666044761547E-6
